id,streetid,source,layer,name,housenumber,street,city,zipcode,length,lat,lon
"GRB:1526365","61635","GRB","street","Eendrachtstraat","","Eendrachtstraat","Aalst","9300","160.03","50.95002490395268","4.038942564385567"
"GRB:1195674","61636","GRB","street","Eerdegemstraat","","Eerdegemstraat","Aalst","9300","229.83","50.96357517642367","4.128781107367938"
"GRB:1171791","61637","GRB","street","Eglantierstraat","","Eglantierstraat","Aalst","9300","96.02","50.95703780039838","4.062579183334953"
"GRB:1154008","61640","GRB","street","Eikstraat","","Eikstraat","Aalst","9300","188.84","50.932484362155904","4.037601547742811"
"GRB:1472495","61642","GRB","street","Elderbergstraat","","Elderbergstraat","Aalst","9300","189.14","50.95075991634736","4.127937532158906"
"GRB:1492263","61643","GRB","street","Engelstraat","","Engelstraat","Aalst","9300","66.45","50.951618417546456","4.042591321617867"
"GRB:1149415","61644","GRB","street","Erembodegemstraat","","Erembodegemstraat","Aalst","9300","175.51","50.93078097298934","4.048852581224125"
"GRB:1196453","61645","GRB","street","Erkendries","","Erkendries","Aalst","9300","166.65","50.91481489143033","4.019741028763484"
"GRB:1231218","61646","GRB","street","Erpestraat","","Erpestraat","Aalst","9300","182.74","50.942692428192174","3.998695577868665"
"GRB:1107053","61647","GRB","street","Esplanadeplein","","Esplanadeplein","Aalst","9300","61.35","50.94150822285932","4.036335053917682"
"GRB:1203341","61648","GRB","street","Esplanadestraat","","Esplanadestraat","Aalst","9300","102.53","50.94097237863729","4.037243074007394"
"GRB:1162923","61649","GRB","street","Essenlaan","","Essenlaan","Aalst","9300","113.27","50.9872861071145","4.056201677037338"
"GRB:1117001","61650","GRB","street","Eugeen Bosteelsstraat","","Eugeen Bosteelsstraat","Aalst","9300","139.43","50.93283745885428","4.047425984881352"
"GRB:1236688","61652","GRB","street","Europastraat","","Europastraat","Aalst","9300","196.45","50.94789373568609","4.138917885725421"
"GRB:1166724","61653","GRB","street","Expostraat","","Expostraat","Aalst","9300","50.39","50.942936602341426","4.0168887993088696"
"GRB:1171941","61654","GRB","street","Exterkenstraat","","Exterkenstraat","Aalst","9300","179.1","50.951298673566335","4.104419209532617"
"GRB:1131703","61655","GRB","street","Fabriekstraat","","Fabriekstraat","Aalst","9300","49.17","50.94190853630929","4.036227715877762"
"GRB:1167099","61656","GRB","street","Fatimawijk","","Fatimawijk","Aalst","9300","127.03","50.98666247786453","4.04852329749151"
"GRB:1126119","61657","GRB","street","Fazantenlaan","","Fazantenlaan","Aalst","9300","286.25","50.918273816769045","4.079641108818652"
"GRB:1207652","61658","GRB","street","Felix de Hertstraat","","Felix de Hertstraat","Aalst","9300","96.57","50.93210141321397","4.042418564587417"
"GRB:1160744","61659","GRB","street","Fijfelweg","","Fijfelweg","Aalst","9300","308.66","50.95275551246851","4.0976242849547395"
"GRB:1116999","61660","GRB","street","Fonteinbos","","Fonteinbos","Aalst","9300","276.52","50.92059616998027","4.080729863107742"
"GRB:1203105","61661","GRB","street","Fonteinstraat","","Fonteinstraat","Aalst","9300","125.53","50.94887540675297","4.064155662227798"
"GRB:1111698","61662","GRB","street","Fortweg","","Fortweg","Aalst","9300","112.69","50.96217848332476","4.093936058906606"
"GRB:1195623","61663","GRB","street","Frans Blanckaertdreef","","Frans Blanckaertdreef","Aalst","9300","144.29","50.92737274949337","4.044393085241862"
"GRB:1116127","61664","GRB","street","Frans Breckpotwijk","","Frans Breckpotwijk","Aalst","9300","214.82","50.9461497341491","4.042718233863715"
"GRB:1185342","61666","GRB","street","Gardebaan","","Gardebaan","Aalst","9300","157.68","50.94961061629275","4.087951548593518"
"GRB:1184063","61667","GRB","street","Garenstraat","","Garenstraat","Aalst","9300","73.96","50.950138947875786","4.032302049252404"
"GRB:1109671","61668","GRB","street","Gasthuisstraat","","Gasthuisstraat","Aalst","9300","133.03","50.94409200153999","4.043439107707631"
"GRB:1108510","61669","GRB","street","Gaston De Schepperstraat","","Gaston De Schepperstraat","Aalst","9300","225.83","50.918017409403916","4.059191311994775"
"GRB:1168033","61670","GRB","street","Gefusilleerdenstraat","","Gefusilleerdenstraat","Aalst","9300","105.86","50.94891372603476","4.05478427467231"
"GRB:1173655","61671","GRB","street","Geldhofstraat","","Geldhofstraat","Aalst","9300","163.1","50.9486870336582","4.051865061786797"
"GRB:1217336","61672","GRB","street","Geneverweg","","Geneverweg","Aalst","9300","166.06","50.93864343374222","4.09760038243851"
"GRB:1462999","61673","GRB","street","Gentse steenweg","","Gentse steenweg","Aalst","9300","375.94","50.94031039119326","4.0125602378265794"
"GRB:1143732","61674","GRB","street","Gentsestraat","","Gentsestraat","Aalst","9300","189.95","50.93761896120256","4.030004138092145"
"GRB:1231012","61675","GRB","street","Geraardsbergsesteenweg","","Geraardsbergsesteenweg","Aalst","9300","761.23","50.92472576378266","4.032281600295055"
"GRB:1138065","61676","GRB","street","Geraardsbergsestraat","","Geraardsbergsestraat","Aalst","9300","212.24","50.92979581879352","4.03562282336633"
"GRB:1221778","61678","GRB","street","Gerstenstraat","","Gerstenstraat","Aalst","9300","180.84","50.92141442632449","4.060536292936605"
"GRB:1093491","61679","GRB","street","Gevergemveldbaan","","Gevergemveldbaan","Aalst","9300","242.55","50.96270167172111","4.107928202283658"
"GRB:1161488","61681","GRB","street","Gheeraerdtsstraat","","Gheeraerdtsstraat","Aalst","9300","117.04","50.94449716368476","4.0363500315711915"
"GRB:1235940","61682","GRB","street","Goosenbroeck","","Goosenbroeck","Aalst","9300","117.16","50.93708412432937","4.139009998008181"
"GRB:1100731","61683","GRB","street","Goudbloemstraat","","Goudbloemstraat","Aalst","9300","152.64","50.94677068225598","4.057751895800421"
"GRB:1133725","61684","GRB","street","Gouden Leeuwstraat","","Gouden Leeuwstraat","Aalst","9300","98.48","50.94865115955749","4.050372526390538"
"GRB:1096544","61685","GRB","street","Graanmarkt","","Graanmarkt","Aalst","9300","93.97","50.940071020452045","4.040279296262783"
"GRB:1225624","61686","GRB","street","Graanveld","","Graanveld","Aalst","9300","55.3","50.95543221941887","4.0602631326562255"
"GRB:1204033","61688","GRB","street","Groeneweg","","Groeneweg","Aalst","9300","148.37","50.91750576725407","4.040921664371606"
"GRB:1167977","61689","GRB","street","Groenstraat","","Groenstraat","Aalst","9300","157.19","50.94553112961624","4.0554071555091165"
"GRB:1526373","61694","GRB","street","Grote Baan","","Grote Baan","Aalst","9300","317.44","50.96273690139152","4.059488071237264"
"GRB:1433716","61695","GRB","street","Grote Markt","","Grote Markt","Aalst","9300","67.39","50.93858545222276","4.038293851403182"
"GRB:1185307","61696","GRB","street","Grotendriesstraat","","Grotendriesstraat","Aalst","9300","88.37","50.920453068839876","4.138299502347092"
"GRB:1176573","61697","GRB","street","Grotstraat","","Grotstraat","Aalst","9300","122.01","50.94090707048706","4.060261124816408"
"GRB:1112034","61698","GRB","street","Gudstraat","","Gudstraat","Aalst","9300","245.3","50.95983034763565","4.08073573277997"
"GRB:1159805","61699","GRB","street","Guido Gezellestraat","","Guido Gezellestraat","Aalst","9300","202.28","50.944473248806204","4.059660417979687"
"GRB:1199962","61701","GRB","street","Guldenboomplein","","Guldenboomplein","Aalst","9300","75.4","50.94942175642984","4.032327724039623"
"GRB:1167511","61702","GRB","street","Gustaaf Papestraat","","Gustaaf Papestraat","Aalst","9300","172.28","50.93418334861435","4.0328892642991825"
